Word,Type,Sense A Sentence 1,Sense A Sentence 2,Sense A Sentence 3,Sense B Sentence 1,Sense B Sentence 2,Sense B Sentence 3,Sense A Standardized,Sense B Standardized
Chest,Polysemy,A Spanish cancer patient diagnosed with chest wall sarcoma has received the world's first 3D printed titanium sternum and rib cage.,"Instead of pounding my chest or reacting with equal or greater ignorance, I wanted to share what I see in Migrant Workers everywhere.","There was agony in my chest , throat, and stomach."," He hid them in what had once been his mother's hope chest , which she had given to him to store all the books he read.",here way of treating the process was much like an African dictator with a chest full of medals.,"It was a big chest full of jewels, glittering diamonds, gold vessels and many other priceless artefacts.",The old feels pain in his chest from exercising. ,The pirate keeps treasure in his chest from the adventures
Board,Polysemy,He swung around to reply and the board cleaved a wide arc around him.,"Place the flour on a wooden board, make a fountain with the flour, add the yeast, a pinch of salt and the lard. ",Remove the steak to a cutting board and let rest for five minutes.,Our Board is made up of six Trustees who are responsible for making sure the foundation is well run and doing what it was set up to do., Jill is on the Board of Globethics and advises on the development of other digital libraries.,The Eau Claire School Board on Monday unanimously approved a resolution.,The saw tore through the board with ease.,The woman joined the board after her promotion.
Cane,Polysemy,Sugar cane was the number one crop that produced the growth for Europe.,"The farming of sugar cane, and the swiftly increasing demands for sugar worldwide, would lift George Ashby from abject poverty.","In the markets in Nagaland could be found exquisite textile, bamboo and cane products.","""My brother has cancer,"" said Mr. Clark, who walks slowly, using a golf club as a cane.""",I ran into a nice lady who was walking with a cane although she really did not appear to be very old.,"He had originally been accused of vandalism, which carries a minimum penalty of three strokes of the cane.",The recipe calls for cane sugar in the cake ,The grandmother walks with her cane outside the house
Glass,Polysemy,Amit Gupta supervises workers loading sheets of glass on trucks for builders across India.,The top part of their printer is a kiln that heats the glass to temperatures of approximately 1900 degrees Fahrenheit.,"The molten glass is then passed through an alumina-zircon-silica nozzle, which moves just like an extruder on normal 3D printers.",Friends and supporters of Not Far From The Tree came together at our End of Season Celebration and raised a glass to mark the end of our time together.,"There were tiny paper bags and a small glass , and for five cents I could buy a glassful of my favorite snack to place in one of the bags."," I scooped the fish out with my wife's strainer (I knew she wouldn't mind), and put him in a glass of water for holding purposes.",The crash shattered the glass onto the street.,The waiter refills the glass on the table
Chicken,Polysemy,People learned how to raise a chicken to earn money for their children's school fees.,"They'll help with making religious sacrifices, using chickens and pigs as an offering.",The locals told him how to kill a chicken using a slingshot but he didn't manage to hit the chicken properly and eventually killed it with his hands.,"It introduces students to beef, pork, chicken , fowl, and fish identifications and fabrication, as well as purchasing and cost control fundamentals in the food.","Guardians living in poor households in Greece said they were unable to provide a proper daily meal (consisting of meat, chicken , fish or vegetarian alternative) to the children in their care, according to official figures published this week.","If they were lucky, they would eat chicken as a specialty on Sundays.",The chef grills chicken with spices,The farmer raises chickens and cows
Television,Polysemy,"There was a television in the corner, so he punched the remote and dropped onto the soft settee. ","The idea was that, if a television could not only receive and display broadcasts, but also pass data back, then it could respond to the viewer.","All of this is captured by a live camera, feeding into a television downstage.", You cannot see on television what is going on here.,A more heated controversy about the relationship between reality television and the Broadway musical is brewing around NBC's new series showing the casting process for a revival of Grease.,These people are not watching television and have grown up in a world of search and two-way flows of communication.,The newest installment of the house was a television,The student watches television while doing his work. 
Shower,Polysemy,"Situated on the pristine Dog River, the apartment has new bathroom with shower , new kitchen, dishwasher, full-sized stove and new cabinets.","Beyond singing in the shower , singing is what we do, it's one of the things that make us human, and we all have an instrument.","The entrance to the shower and location of outlets, coupled with individual patient fall risk assessment and education, will help reduce falls.","On Wednesday, August 12, 2015, at about 10:30 p.m. we went to the water to look for a possible meteor shower ",Had a headache so I decided to go out and take some fresh air and look for falling stars/ meteor shower activity behind the house in car parking area.,The Orionid Meteor Shower is likely the reason - from now until October 25th don't forget to look up towards the well know constellation of Orion.,The athletes take showers in the locker room.,The weatherman forecasts showers in the afternoon. 
Book,Polysemy,"Your biography in the back of the book lists one of your titles as ""game scientist. ""","We're proud of all that Digital First has accomplished, and we have lots of stories to share in the pages of this book .", The book is available to be borrowed from the MARRCH Ethics Committee library. ,"I wrote to the author, a university professor, telling her that her book made me wonder whether she knew that an American holocaust had taken place.",The book was nominated for the Georgia author of the Year Award.,"A much-anticipated book in conservation and natural science circles is EO Wilson's Half-Earth: Our Planet's Fight for Life , which is due early January.",The student forgot his book at home. ,The reviewers loved the book for its narrative and style
Coat,Polysemy,A new coat for me that year was out of the question!,The original double-headed eagle off the Russian coat of arms now honours the Czar box. ,The man arose and put on his coat and took his axe off home.,"And when the heavy coat of cumin seed, grounded red chilies, and sesame seeds (black and white) hit my tongue, it was a bondage session.","I did cheat and use acrylic as a base coat , however.", Do one coat .. wait til it's dried and then add another.,The tourist stopped at the coat check of the museum. ,The designer applied a fresh coat of paint. 
Fortune,Polysemy,"During the 30's, a penny was a small fortune.","Sun heard that ivory products can be sold for a great fortune , so Sun went to multiple areas to buy ivory products. ","Tech.co Hsieh's plan, according to Wired , ""was to spend much of his own personal fortune to transform this supposedly lifeless area about a mile north of the neon blitz of the Strip into an entrepreneurial project.","We celebrate our good fortune of getting approved for another credit card with a $30,000 limit by increasing our spending to $39,000 per year.","A month ago, I had the good fortune of spending a week at the side of the often called ""Sahrawi Gandhi,"" Aminatou Haidar.","I have had the good fortune to meet a number of very famous teachers, but none have had given me the strong sense of familiarity that Rinpoche has.",The deceased father left a big fortune to his son. ,The amulet gives good fortune to all who wear it
Orange,Polysemy," It was a sack for each of us which contained an orange , three gum drops and a package of gum.","Office's website: freshly squeezed juices, bursting with fresh fruit and vegetable flavors freshly squeezed orange and apple... carrot with a dash of ginger... apple, orange and passion fruits... blended fruit and vegetables...","The flesh of the fruit is a brilliant white, and in sections like an orange with up to 8 segments and 5 seeds."," It cheerier, and makes much better use of orange than Ambiance or Radiance. ","This years colors included orange for leukemia awareness, blue for colon cancer, pink for breast cancer, green for lymphoma, and violet for all cancers.","e died, completely covered in the gas, his body a tinted orange , with stains of it on the wall of his cell as shown in the picture below.",I ate an orange for breakfast. ,The artist paints orange onto everything
Production,Polysemy,"Scientists say that we could feed twelve billion people today, but we throw about a third of our food production away, we make electricity, bio fuels and similar substances from a huge share of it.","Prior to its production , execution, administration and maintenance, a comprehensive LOR framework – encompassing everything.","This report analyzed more than 4,500 research studies, and its production involved the participation of more than 120 contributors and peer reviewers.","Senior fine arts major, Wendy Obstler, is practicing for ""Les Liasons Dangereuses,"" the final theater production of the fall semester.","Annual programming includes three major productions plus the SLAM summer musical and other readings, ten exhibits, and multiple adult and youth workshops.",At school he participated enthusiastically in various theater productions and enjoyed playing the string bass in the orchestra.,The company started the production of its newest model. ,The theater's next production was Romeo and Juliet. 
Hall,Polysemy,I feel like I can stop and talk to anyone in the hall.,"In the Squadron Operations area, one of the sergeants came to me and brought me into the hall around the side of the pilots briefing room. ","She just looked at me with these big beautiful eyes and said ""Sorry, gotta go! "", and she turned and hover-walked down the hall .",Tthey are not allowed on the campus grounds after lecture hours and are prohibited from being in a lecture hall /room where they could come into direct contact with male students or faculty members. ," It will also include two art classrooms, special needs classrooms, a band hall with practice rooms, administration office and a commercial kitchen."," What they built was a 1,400-seat Bingo hall that is now home to the state's largest casino, the Hard Rock Hotel and Casino.",The office is down the hall on the left. ,The music enthusiasts filled the concert hall for a night of opera. 
Atmosphere,Polysemy,"ecause emissions stay in the atmosphere for about 200 years, we also have to deal with all of the emissions that have accumulated.","Carbon dioxide, the primary greenhouse gas , would vent into the atmosphere and contribute to climate change if it's not removed beforehand.","Moisture collects in the atmosphere due to the evaporation of water, thus evaporation plays an essential role in the water cycle.",We had a great turnout and the atmosphere was electrifying.,"t really was such a great atmosphere , everyone laughing and joking again. ",Village leaders try to recreate a family atmosphere as best as they can. ,The factories are releasing toxic gas into the atmosphere. ,The candle provided a relaxed atmosphere in the room. 
Class,Polysemy,"Each week the class explores recipes and historical and cultural information, as well as a guide to ingredients specific to that region.",I always insist the class studies (and critically interacts with) the way the media behaves during any emergency., Still another said he thought the course could be improved and deepened if the next year's class would repeat the activity with the same audiences.,Permit enforcement begins the first day of class each term.,Youths who meet regularly with their mentors are 52% less likely than their peers to skip a day of school and 37% less likely to skip a class . ,VirtualBox is not appropriate because of compatibility and troubleshooting problems you might encounter during class.,The principal addresses the class about school events,The dancer attends the class in the gym. 
Sign,Polysemy,"Stop signs could be amended with a sign that reads ""When traffic is clear, cyclists may yield"".",Perhaps this was due the fact that there was a paper sign to the side of the piece which read DO NOT TOUCH!!! DO NOT INTERACT WITH THE WHITE PAINTINGS.," At the exit point of the beach is a sign that reads ""Take Just What You Need. "" ", Although the process of making a new civilian government has been completed in Balochistan there is no sign that the situation in that province will return to normal. ,It is a further sign of the internalisation of this crisis. ," In another sign of potential breakthrough, a member of the Indonesian delegation spoke to The Verb.",The driver ignores the sign at the crossroad. ,The competitor shows no sign of weakness. 
Pipe,Polysemy, 22 recurring uncontrolled radioactive spills from the same buried pipe went inadequately addressed and not fully disclosed from 1996 to 2005. ,Women and girls carry water on their heads while workers replace the old PVC pipe to the community's water source. ,Most car handrails are made of pipe .,I took three hits from a pipe earlier today.,I hit the weed pipe three times indoor weed and did a drug test 13 days later and over weight I also had problems peeing a lot.,"Adolph, returning from the opera at midnight, donned his old jacket and a pair of slippers and, lighting his pipe , settled himself with a paper to await Stefan's coming. ",The water was leaking from the pipe. ,The old man smoked the pipe every night.
Cover,Polysemy,"A positive linear correlation existed between foliage height diversity, percent canopy cover , and migratory species.","This research has shown that there is a significant relationship between impervious surface cover (i.e. roads, sidewalks, driveways, and buildings) and chloride concentrations in streams (Cunningham et al. 2009).",Is very durable and water-proof protection cover .," Perhaps they didn't read the inside cover of the Army's brochure with the radiation warning--no scratching, no sniffing.",You'll need to use a very sharp scalpel to cut the new title into the cover of the book.," Referring to a recent cover of the weekly that showed the other two candidates on the ballot, both Democrats, MacMillan said, ""I've always liked him"".",The refugees take cover in the bomb shelter. ,The librarian feels the cover of the paperback book
Mouth,Polysemy," I don't know, it just leaves a bad taste in my mouth .","Yet when we observe upturned corners of a mouth , we immediately sense happiness. ","The first words out of his mouth were ""I love this city!","It's situated on south shore of Lake Erie, just east of mouth of Cuyahoga River.","Others, traveled by wagon from Galena, Illinois to Hamilton's diggings, and then by canoe to the mouth of what is now Kent Creek. ",And that at one time the very mouth of the ritually ebbing Nile lapped up against those gates.,The child keeps his mouth open when he chews,The explorer enters the mouth of the cave
Man,Polysemy,"""It is rare to hear man perfectly integrated with music – when the two are so inextricably linked that distinctions between them are rendered void"""," In the Old and the New Testament , the love of God for man , and, in particular His relations with His chosen people (whether of the Synagogue or of the Church ), are frequently discussed.","""My heart is oppressed; my heart is dilated,"" though the heart of man is neither oppressed nor dilated.",A veteran of Ceefax and a man with no interest at all in football. ,"It takes courage for a man to say to another, ""I know you hit your wife and I want nothing to do with you. """, The man hands over his cell phone while pressing a button. ,The earth's destruction is fueled by man's drive for money and power.,The boy became a very successful man in business management. 
Church,Polysemy,A guide will explain how the historic church came to be built next to the Grote Markt and the role it played in Brussels' development through the centuries.,LOVE146 's co-founder Lamont Hiebert's band Ten Shekel Shirt came to our church to do a concert. ,"Ssoon, they will make laws prohibiting making a church a historic site.",He laboured succesfully for the emancipation of the Church from governmental encroachments.,"Initiatives like these, at those levels, may bring to closer and deeper dialogues and relationships between the Church and its faithfuls, that is to a scenario where, side by side to the ""unidirectional communications"".","Later, he saved enough money to give the church a station wagon for their use.",The masons renovated the church last year,The missionary feared the church because of its power.
Instruction,Polysemy,The director gave specific instruction to the person giving me a tour of the building that I was to ride the elevator.,All residents are given instruction in study methodology and assistance in obtaining Internal Review Board approval.,"Only giving the simple instruction above you will find all this can be achieved by your employees, only using their mobile devices and with no training.","Under these circumstances, has the plaintiff been unlawfully excluded from public school instruction ? ","Through personal instruction , team drills, court clinics, and competitive games, we aim to improve the skills of each young athlete.",The grant specifically targets strengthening math instruction and increasing student engagement in mathematics through technology-rich instruction.,The father gave strict instructions to be back home by 10pm. ,The tutorial provides thorough instructions on how to build the chair. 
Picture,Polysemy,The wedding picture was taken in Findlay on the following Tuesday. ,When I was six or seven years old I saw a picture of a pair of red-topped knee boots in a magazine and fell in love with them.,For now I'd like to highlight the similarity between Ikariam's Diplomatic Advisor icon and the profile picture of our friend Dav that his job keeps on their website.,The big picture I'm always trying to accomplish is the same; I want to help people play better.," In the medium to long term, though, a different picture emerges; Higher minimum wages mean fewer businesses will open, and struggling ones will close more quickly. ","While part of the broader picture of San Francisco's affordability crisis, the unduplicated factors that shape Chinatown's built form require a change.",The photographer took a picture of the scenery. ,The boss understood the big picture of the company's mission. 
Force,Polysemy,"It's impressive the state's power over the management of public finances, eliminate the possibility of dictating decrees with the force of law, establish guidelines for the management of state assets and define the mandate of public officials.",The organization of elections have historically and almost invariably depended directly or indirectly on the political force holding executive power.,"Women and girls are mostly used for forced labour and sexual exploitation by force , threats, fraud or under duress. ",A service member missing in action or captured in the line of duty by a hostile force . , It became clear to the task force that a (if not the) universal underlying factor or core value of the farmers market system is to support farmers.,In 2004 a Royal Air Force officer took a photograph of an unidentified atmospheric occurrence or portal to another dimension.,The buildings were crushed by the force of the tsunami. ,The student joined the police force as soon as he graduated.
Horn,Polysemy,Suddenly a horn went off signalling the start of the contest. ,No one honked a horn or showed anger.,"Flashing of headlights when catching up with a slower driver,and honking the horn or making obscene gestures to other drivers are all likely to provoke a response from other drivers. ",The rams horn shophar or trumpets signaled Israel to assembly or battle.,It put rhino farmers out of business with South African National Parks selling live rhinos at a fraction of what their horn would fetch on the black market., A 27-year-old man was arrested in Dhangadi as he tried to smuggle a rhino horn out of Nepal.,The driver sounded her horn at the slow driver. ,The bull lowered its horn and charged into its enemy. 
Lip,Polysemy, In no case may the lip exceed 1/2 inch.,Remove remaining plastic and trim dough 1/2 inch beyond lip of pie plate. ,"The reason for the very low furniture in front of the 'pin bar' is that the bar has a lip I haven't filed off (I thought it might help with paper feeding, but it isn't at all necessary)."," She certainly doesnt think that his bottom lip , which is fuller than the top, is bitable.","She scared playcentre mums because of her multiple piercings, including a row of earrings down her left ear, a ring in her lower lip , and a nose stud. ","Even wearing the simplest of makeup a bright pink matte lip is always going to make you look ""done"". ",The bartender added salt to the lip of the glass. ,The girl applies lip balm to fight the dryness. 
Nucleus,Polysemy," In 2013, Colorado State launched the Energy Institute, which serves as a nucleus of research, education, and outreach for the faculty, staff, and students of Colorado State University. ","It was also necessary to build up a nucleus of men trained in civil administration and other professions, so that Africans would be equipped to participate in the event.","This collection became the nucleus of an extensive and impressive collection of manuscript materials, books, photographs, and audio materials."," With a contained disc herniation, there are no free nucleus fragments in the spinal canal.", Nuclectomy can be performed by removing some of the nucleus to reduce pressure on the annulus. ,"However, Gurdon showed this is not the case when he replaced the nucleus of a frog egg cell with a specialized nucleus cell that came from the intestine of a tadpole.",The two veterans are the nucleus of new management team. ,The DNA is stored in the nucleus of a cell. 
Circuit,Polysemy," A technical circuit , I want to make sure my driver knows what how to stay out of trouble, and how to carefully weave through the field. ","4 wins, 1 3rd, 1 4th, and 2 retirements are his results in his past 8 races at this circuit which took place this year. ","Juan Pablo Rebella and Pablo Stoll's wry, low-key Whisky (2004) broke out of the festival circuit to achieve a modest commercial release. ","This technology encompasses the effective use of electronic components, the application of circuits and design techniques, and the development of analytical tools.",I figured out the original circuit pathway and completed the circuit with some new wiring. ,The equivalent circuit consists of a constant phase element (CPE) Q in parallel with the parallel resistors R t (charge transfer resistance).,The new car was tested on a racing circuit for the first time. ,The electrician found that the circuit had a defect. 
Business,Polysemy, It is the family business that allows the next generation to have an education.,Ask us about creating software solutions that are unique to your business. ," If you are in the business of selling food and beverages, your business may offer a discount to candidates and party committees without making a contribution.","No thoughts of the past or future, no good or bad, just going about the business of life – yet another lesson for us all. ","If you have an established company and are thinking of stepping up production or just getting your feet wet in the business of making cheese for the first time, we can help with your plan, layout and equipment needs.",Turkey's relationship with the EU is none of your business',The student started his own business straight out of college.,The family minds their own business when there is a fight
Speaker,Polysemy,Director of the Jesse M. Unruh Institute of Politics at USC Dan Schnur is an engaging speaker .,That was the message from keynote speaker Gerard Braud to 311 new Louisiana Tech University graduates during the school's 314th commencement.,"Very informative session, but I wish the 2nd speaker had time to complete his discussion.",Click your type of speaker setup in audio channels. ,"Sonos has released a matte-finish version of its Sub speaker and I got to hear one of these in action at Sonos' Cambridge, MA offices. ",I tested this bluetooth speaker with my iphone and laptop and I had no issues pairing them.,The professor records the speaker at the conference.,The family installs a speaker into their home stereo system. 
Sum,Polysemy,"Greater than the sum of its parts, each leader brings their unique strengths and growing edges to the Lev (""heart"").","Moreover, seeking truth from facts is the theoretical sum of China's experiences in policy-making, representing an original theoretical achievement. "," Stripes are the sum of two strips, defined in survey coordinates ( λ , η ). ","That is no small sum , since the Bay Area imports 6,000 tons of food each day, with each ton causing another drop in the world's dwindling.",I am delighted to have helped raise a fantastic sum again for a wonderful cause. ,"A man in Missouri would have been charged twenty-five cents for every letter they received from the Kirtland area, a sum roughly equivalent to one-third of the average daily wages of an agricultural laborer. ",The mathematician calculates the sum of the numbers. ,The businessman earns a sum after a big day of sales. 
Spot,Polysemy,A traditional single focal spot produced from a lens can be transformed into a complex array of foci allowing for arbitrary patterning. ,"BEC5 curaderm cream is a renowned sun spot cream, age spot cream that treats skin cancer at the source."," I spotted an odd, bright orange spot in the distance which got bigger over time. ", They claimed a parking spot for the whole evening (no parking meters).,"For the It's On Us week of action, we planned to talk to organizations and get them to take the pledge, table on a prominent spot on campus to give out buttons, stickers, and to get people to take the pledge, and we screened The Hunting Ground . ",The buyers could have a determining influence in turning Nicaragua into a spot for tourists.,The shirt has a spot of tomato sauce on the front,The traveler marks the spot on the map. 
Clay,Unambiguous,"She has the tendency to eat non-food items such as chalk, clay , or paper","In 1996, Leoni Mvungi built a Rocket stove from earth, sand, and clay that was a replica of a low mass Rocket consisting of metal chimney parts. ","Mined commodities include oil shale , peat , and industrial minerals, such as clay, limestone , sand and gravel .",Pottery in Etienne from Provence Most of the Japanese pottery I've seen makes use of earthy glazes with bits of clay showing through.,"We have witnessed red and black polymer clay sculpted heads being sold online with keys, feathers and cowries being jammed into the sculture. ","First folks sieved the clay to remove any stray bits, then sand and water were mixed with the clay until deemed the right consistency.",The artist molds the clay into a statue,The kids play with clay during art class.
Region,Unambiguous," Peace One Day launched a 3-year project in the Democratic Republic of Congo (DRC) and the Great Lakes region of Africa for Peace Day, 21 September. ",They will be partnered with elected officials from each County to address the needs of individual areas and the region as a whole.,At least 10 percent of the vote on Sunday will qualify for next Sunday's run-offs but they could decide to drop out of some regions to try to keep the FN out of power.," Anecdotal evidence from the region also suggests that rising sea levels means more salt in the soil in the coastal areas, affecting crop yields. ","Along with housing policies, city governments in the region should also consider adopting other policies such as living wage or other asset building strategies","The annual event highlighted accomplishments for the region during the past 12 months, including corporate relocations and expansions, the addition of new hard assets",The country invaded that region last year.,The artist is painting this region at the moment.
Guest,Unambiguous," At times, these guests have numbered in the thousands, and arrived from all over Europe. "," Throughout the night, our guests made themselves comfortable watching the sunset over Lake Champlain, dancing in the East Hall, and having drinks"," They are my third guests in a periodic series of posts from other authors, and it's great to add their perspective to the mix. ","Pacific Institute President Peter Gleick is a guest on the syndicated daily talk show The Doctors on Monday, July 11, discussing issues around bottled water","Over 1,200 distinguished guests from the worlds of art, performance, theater, fashion, design, and society came together for the visually stunning show",The Youth Hostel Pod Voglom has one of the most beautiful locations right by the lake and it supplies its guest with the active holidays for the guests of all ages.,The hotel has only one guest tonight.,The little boy is inviting a guest to New York.
Myth,Unambiguous," By openly talking about domestic violence and dating abuse, we can dispel the myth that there is a ""type"" of person who experiences abuse. ","It discusses identity, and the relationship between identity, commitment and love, while interpreting Finland's ancient myths , through Olof Koskela's descriptions, as deeply philosophical and contemporary. ","""I want to stop once and for all the myths going around this town,"" he begins. "," It occupies, with benign myth , the space in the mind which, if vacated, is wide open to takeover by ideology. "," The artist behind the myth always arouses interest, but can we ever really understand or know the person behind his or her art? ","the Teacher's Edition to the textbook, teachers are encouraged to ask their students what ""classic"" stories of urban myths , tales of alien abductions, or ghost stories they have heard.",The storyteller described the myth to the children.,The old man believed the myth wholeheartedly.
Planet,Unambiguous,"We imagine that our planet is populated by lions, elephants, whales and penguins","The biggest challenge we face is shifting human consciousness, not saving the planet. ","Our vision is of a planet made up of healthy, resilient communities; people inspired to draw on their knowledge, harnessing local skills",We need more than ever for Obama to recognize climate change and the sustainability of our planet as a moral imperative.,What bold blueprints for a green planet will arise if we unleash the full power of our idealism and ingenuity? ,"The planets angular distance from the sun was rather small, but it was still bright enough to be seen by day.",The astronauts left the planet to go back home.,The kids see the planet through their telescope.
Tent,Unambiguous,You will be provided a 10ft x 10ft tent and a picnic table.,We received the 15 tents through Transport office after long hard work for clearing customs (we are lucky that we did not need to pay customs),"The one above was in an emergency tent , blazoned with the Unicef logo but obviously not distributed for this purpose","Further up the street stood a woman with a rather shabby tent , there to make known her displeasure at the US intervention in Iraq. ",Canvas for 20 acres of tents had to be purchased. ,"One week ago the Israeli settlers illegally built a tent (about 20 s.m.) on Palestinian land, situated between the Palestinian village of Susiya and the Israeli Suseya",The campers build their tent for the night.,The circus uses this tent for their show.
Monk,Unambiguous,"The French Buddhist monk Matthieu Ricard, a Davos regular, remarked that ten years ago he could not imagine altruism and the idea of 'caring'","For these monks , the ideal Christian life was not one of direct engagement with the world for the extension of the kingdom,",The truth is that Ammonius was a monk from Nitria. ,"books. A staple food of Tibet . Used to make ceremonial tormas . A sacred Tibetan Buddhist sacred dances. Peformed by monks , very ritualized, can be wearing masks. [ ref ] A mixture of tsampa and butter placed in a container as offerings to",To have a meal with the monks would be a great challenge for someone who is not used to the act of being silent. ,"she and her family have not yet trusted in Jesus, and continue to seek blessing from visiting the Buddhist temple and monks , she acknowledges that through our relationship she has experienced God's love. ",The priests respect the monks for their dedication.,The visitor found the monks praying.
Razor,Unambiguous," So my advice, for what it is worth, is if you encounter one of these events then take along a heavy duty razor knife and use it to cut out big sections of the cladding and create a large scale abstract design.","So I guess that is what I read in the world of men's disposable razors , such a small amount. ",f I just can't be bothered then the trusted razor makes an appearance. , I just couldn't afford the price of a razor. ,"Practices that increase the likelihood of blood contact, such as sharing of razors and toothbrushes, should be avoided. "," Another electric razor for beards name for salicylic acid is glycolic acid, that helps unclog pores.",The man picked up the razor before shaving.,The businessman used the razor to trim his neck.
Cigar,Unambiguous,He was approached by police for either jay walking or stealing cigars from a store (we don't actually know why he was approached but these are the possibilities out there)?,Caffe Greco was the meeting place for Liszt and his students to enjoy cigars and brandy;,. In his hand he held a cigar. ,"Between these sessions of dancing, hosts and guest sit facing one another, passing gifts of coca and cigars to and fro, as they recite their pedigrees in collective chants led by a specialist chanter. ",I had an incredible dinner at a 500 year old family owned (and lived in) castle with Montecristo No. 3 cuban cigars and Balvenie 30 year old single malt. ,"She wore a pig costume and chomped on a cigar , and declared herself Jerry Horne's smoked cheese pig .",The old man smokes a cigar after dinner.,The smokers prefer cigars over cigarettes.
Cardboard,Unambiguous,". ""A sled was a sheet of cardboard and McKinley Monument was the best hill. ","""I remember wearing ill-fitting shoes and putting cardboard in them to cover the holes in the soles. "," Simply mound logs, branches, leaves, grass clippings, straw, cardboard , petroleum-free newspaper, manure, compost or whatever other biomass you have available, top with soil and plant","Use a container to transport/house kittens in (plastic tubs work best, cardboard works as well) ","""The ""hall"" is the size of a large dining hall, and has been divided into eight alleys using cardboard and plastic. ","During last 10 years food processing industry was intensively increasing consumption of plastic, cardboard and aluminum package on the background of relative decrease of glass container consumption. ",The kids used the cardboard to make a fort.,The family saved the cardboard for arts and crafts.
Thorn,Unambiguous, It shall grow thorns and briars for you; but you shall have the plants of the held for food. In the sweat of your brow you shall eat bread,". I will not support sending Australia troops to a foreign country to remove a thorn without them having the ability to defend themselves when threatened, which should be decided by the troops",These are the thorns growing as a result of the heat. , A thorn in the side of so many editors: Final Cut Pro doesn't remember to change your scratch disks from project to project. ," Jesus, crowned with thorns , pays the price of our sins and then rises from the dead, ascends and is given all glory and honor from the Father. ","I'm at the mercy of the ruling party unless parliament votes against the 18th amendment, the curse of democracy and a thorn in the side of populace who have had it up to their eyeballs the increasing oligarchic powers ",The woman inspected thorn on the rose branch,The girl has a thorn in her skin.
Blowdryer,Unambiguous," By 2000, deaths by blowdryers had dropped to less than four people a year, a stark difference to the hundreds of cases of electrocution accidents","This is an average buy abortion pill online flat iron, blowdryer , paddle brush or use Dove doxycycline for dogs as my ""polish"" coat.","and if you want to use a primer. Lipton teas are comfort drinks; like boxed macaroni and cheese, they remind me of the two blowdryers I currently use the Avacado Hair treatment.","This blowdryer is absolutely no difference in my skin was clear my skin, doesn't break me out and my eyelashes were never lush",. After damaging it with or without a blowdryer or reworking for 10 - 15 seconds.,"I Am addicted to my InStyler rotating iron gizmo , as well as a new blowdryer I just bought (more on that in an upcoming post...) ",The girl used the blowdryer on her hair,The man bought a new blowdryer for his apartment
Pencil,Unambiguous,the pencil becomes the property of the voter they take with them.," Our other presents might be a yellow pencil , a rubber ball or a hair barrette.","But what their students came up with transcends the usual half-hearted redesigns, spanning pencils that are applied like paint brushes, pencils shapes like paleolithic tools, and more. ",": At the end of homework each day, your child should get into the habit of paring three pencils for use in class the following day.", It is mostly filled with pens and pencils .,"that had been handed them, people began walking around the room–picking up chalk off the chalk tray or sharpening a pencil or going over to a friend to offer a greeting, and then returning to their seats to continue through the test. ",The poet only uses pencils to write.,The student finds a pencil under his desk
Dictionary ,Unambiguous,it is insufficient to determine whether his text was taken from the Berthelin apparatus of the Richelet rhyming dictionary,"According to the dictionary , strategic deception is related to disinformation directed to mislead the enemy, ",the use of the medical dictionary and related reference materials will be emphasized. ,. This dictionary fills the need for a guide to the diverse terminology aimed at the non-specialist.,"Even if most passwords are not in the dictionary , some might be. ",he method will simply lookup in the dictionary to see if the requested property is in error. ,The craftsman uses a dictionary as a paperweight .,The nerd reads the dictionary every day.
Cellphone,Unambiguous,A senior U.S. State Department officer and the ambassador to Ukraine apparently used unencrypted cellphones for a call about political developments in Ukraine that became public. ," I cannot believe that it is not illegal to seize data at border crossings, detaining people while their cellphones , laptops, and memory cards are copied. ","According to information which will have to be confirmed in the coming hours, Flores made a final call from his cellphone , claiming that he had been kidnapped by the police. ","He had saved her number on his cellphone under the name ""Chello Pakistan"". ","Brown has gotten rid of entire departments, got rid of unnecessary cellphones paid for by the state, or reduced the amount of vehicles that the state keeps on inventory",My cellphone is a black iPhone 4 ( not for long if this iPhone 5 is everything I've been dreaming of ). ,The businesswoman answered her cellphone right away.,The old lady dropped her cellphone in the pool.
Giraffe,Unambiguous,"They are found at zoos taking care of everything from giraffes to lions, and they may also have private practices to serve people with exotic pets like snakes and lizards.","Conservation Foundation , which made the announcement of new research figures last week, African populations of giraffes have dropped nearly 40% in the wild over the course of only 15 years. "," There were a LOT of animals out there - we saw oryx, wildebeest, waterbuck, crowned cranes, a giraffe , and this Patterson's eland came over to where we could get a good look at her. "," There was a giraffe eating from one of the feeders, while one of the Ankole cows came up behind it, moving closer, and closer. ","The giraffe apparently thought those big horns were getting TOO close, because suddenly it turned and started bucking ","We saw five other giraffes out there, too, in addition to more Ankole cattle, some impala, and a nyala in the distance.",The family saw a giraffe at the zoo.,The hunter shot the giraffe with a gun.
Piano,Unambiguous,"""For entertainment in our early years and up through high school, we made our own: singing around my cousin's player piano , board and card games and the whole run of outside games including tennis (which was free)","Adams began learning the piano when he was six years old, and went on to study music at the University ","She enjoys playing piano , singing, baking, reading, entertaining people of all ages in their home and most of all being her kids' biggest fan",". Phil Ochs thus acquired his first guitar, though he was already a trained musician who had studied both clarinet and piano as a high school student.", Students must complete level performance D or equivalent in at least piano and voice. ," In short, dad's downtown, there's a piano and Julian's making arrangements.",The young man played the piano very well.,The family moved the piano into the other room.
